16:21:36.871 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
16:21:36.871 [main] DEBUG o.a.c.c.ConfigurationUtils - Loading configuration from the URL jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
16:21:37.519 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/${external-properties}
16:21:37.542 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is ${external-properties}
16:21:37.542 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-${easyconf:companyId}.properties
16:21:37.574 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-${easyconf:companyId}.properties
16:21:37.574 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-setup-wizard.properties
16:21:37.589 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-setup-wizard.properties
16:21:37.589 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-ext.properties
16:21:37.675 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-ext.properties
16:21:37.683 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-bundle.properties
16:21:37.699 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-bundle.properties
17:17:07.277 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is global-configuration.properties
17:17:07.337 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
17:17:07.338 [main] DEBUG o.a.c.c.ConfigurationUtils - Loading configuration from the URL jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
17:17:07.840 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/${external-properties}
17:17:07.858 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is ${external-properties}
17:17:07.861 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-${easyconf:companyId}.properties
17:17:07.886 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-${easyconf:companyId}.properties
17:17:07.889 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-setup-wizard.properties
17:17:07.900 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-setup-wizard.properties
17:17:07.902 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-ext.properties
17:17:07.990 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-ext.properties
17:17:07.992 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-bundle.properties
17:17:08.002 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-bundle.properties
17:51:11.578 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is global-configuration.properties
17:51:11.596 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
17:51:11.596 [main] DEBUG o.a.c.c.ConfigurationUtils - Loading configuration from the URL jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
17:51:12.182 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/${external-properties}
17:51:12.193 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is ${external-properties}
17:51:12.196 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-${easyconf:companyId}.properties
17:51:12.282 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-${easyconf:companyId}.properties
17:51:12.285 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-setup-wizard.properties
17:51:12.293 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-setup-wizard.properties
17:51:12.296 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-ext.properties
17:51:12.393 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-ext.properties
17:51:12.397 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-bundle.properties
17:51:12.415 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-bundle.properties
18:04:24.985 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is global-configuration.properties
18:04:25.015 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
18:04:25.016 [main] DEBUG o.a.c.c.ConfigurationUtils - Loading configuration from the URL jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
18:04:25.552 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/${external-properties}
18:04:25.563 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is ${external-properties}
18:04:25.565 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-${easyconf:companyId}.properties
18:04:25.579 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-${easyconf:companyId}.properties
18:04:25.583 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-setup-wizard.properties
18:04:25.592 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-setup-wizard.properties
18:04:25.595 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-ext.properties
18:04:25.681 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-ext.properties
18:04:25.683 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-bundle.properties
18:04:25.695 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is portal-bundle.properties
18:33:58.226 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is global-configuration.properties
18:33:58.245 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
18:33:58.245 [main] DEBUG o.a.c.c.ConfigurationUtils - Loading configuration from the URL jar:file:/C:/apache-tomcat-7.0.25/webapps/portal/WEB-INF/lib/portal-impl.jar!/portal.properties
18:33:58.825 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/${external-properties}
18:33:58.835 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is ${external-properties}
18:33:58.837 [main] DEBUG o.a.c.c.ConfigurationUtils - ConfigurationUtils.locate(): base is null, name is C:/liferay-plugins-sdk-6.1.0/portlets/headerfooter-portlet/liferay/portal-${easyconf:companyId}.properties
